Date,Description,Status,Major Rd,Minor Rd,Inconclusive,Cords,Map,Fatal Crash,Fatal Persons,Twp,CVT,Distracted,Driveway Related,Intersection Related,Road side Fixed object,"Human (speeding, Seatbelt, Helmet, Drwosy, imparied, distracted)",Work Zone?,Animal Related?,Left of Center,Alcohol_Drugs,Medical,Gravel,Wet/Snow/Ice,Teen,Pedestrian_Bike,Motorcycle/ATV/Snowmobile,Elderly
12/31/2017,"A motorist travelling northbound on Dequindre Road, 100 Feet north of Clovelly Avenue was killed when they crossed the centerline and hit a southbound vehicle before continuing and hitting a house. The driver experienced a medical emergency and passed out before the crash. ",,,,,,,1,1,,,,,,,,,,,,,,,,0,0,
2/3/2018,"A pedestrian was hit and killed by an eastbound vehicle when they were crossing Twelve Mile Road, west of Dequindre Road in the City of Madison Heights. This was a hit-and-run crash.",,,,,,,1,1,,,,,,,,,,,,,,,,1,0,
2/18/2018,"The passenger in a motorist’s vehicle travelling westbound on Lakeville Road, 2,500 feet west of Hosner Road, in Addison Township, was killed when a motorist travelling eastbound loss control, crossed the centerline, and hit them head-on. Alcohol was a contributing factor in the crash.",,,,,,,1,1,,,,,,,,,,,,,,,,0,0,
3/24/2018,"A motorist travelling westbound on Elizabeth Lake Park Road, 100 feet west of Hickory Lane in the curve was killed when they lost control, crossed the centerline, and ran off the road came back onto the road and was hit by an eastbound vehicle. Alcohol was a contributing factor in the crash.",,,,,,,1,1,,,,,,,,,,,,,,,,0,0,
4/12/2018,"A motorist travelling eastbound on Pontiac Trail, just east of Halsted Road was killed when a motorist travelling westbound crossed the centerline causing a head-on collision. Witnesses at the scene stated the westbound motorist was passing in a no passing zone.",,,,,,,1,1,,,,,,,,,,,,,,,,0,0,
5/23/2018,"On Pontiac Trail, 1500 feet south of 11 Mile Road, a construction worker was killed when a work vehicle involved in the work zone paving operation backed up over the worker taking temperature measurements of the bituminous pavement being placed.",,,,,,,1,1,,,,,,,,,,,,,,,,0,0,
6/10/2018,"A motorist travelling eastbound on South Boulevard, 350 feet east of Fredmoor Drive lost control, crossed the centerline, and ran off the road into a ditch, went airborne and struck a utility pole. A passenger in the vehicle was killed. Alcohol and drugs were a contributing factor in the crash.",,,,,,,1,1,,,,,,,,,,,,,,,,0,0,
6/18/2018,"A motorcyclist travelling westbound on Elizabeth Lake Road, 650 feet northwest of Oxbow Lake Road in the curve was killed when they lost control and ran off the road. Speed appears to be the contributing factor. Alcohol was a contributing factor in the crash.",,,,,,,1,1,,,,,,,,,,,,,,,,0,1,
7/28/2018,"A motorcyclist travelling southbound on Williams Lake Road, 1200 feet north of M-59 (Highland Road) was killed when they lost control, ran off the road and hit a chevron sign.",,,,,,,1,1,,,,,,,,,,,,,,,,0,1,
8/7/2018,"A motorist travelling Eastbound on Mountain View Road at Williams Lake Road, failed to yield the right of way after stopping and was hit by a southbound motorist. A passenger in the vehicle that failed to yield was killed.",,,,,,,1,1,,,,,,,,,,,,,,,,0,0,
8/11/2018,"A motorist travelling southbound on Scott Lake Road, 20 feet north of Peerless Street was killed when they lost control, ran off the road and hit a tree.",,,,,,,1,1,,,,,,,,,,,,,,,,0,0,0
8/11/2018,"A motorist travelling eastbound on Maple Road, 900 feet west of Golfview Road was killed when they crossed the centerline causing a head-on collision with a westbound vehicle. Drugs were a contributing factor.",,,,,,,1,1,,,,,,,,,,,,,,,,0,0,0
8/17/2018,"A motorist travelling northbound on Southfield Road, 50 feet south of Lincoln Road was killed when they rear-ended a stopped without slowing down. Alcohol was a contributing factor in the crash.",,,,,,,1,1,,,,,,,,,,,,,,,,0,0,0
8/20/2018,"A motorist travelling eastbound on Elizabeth Lake Road, 75 feet west of Crescent Lake Road turned left into a business driveway and was hit by a westbound motorcyclist that died from their injuries.",,,,,,,1,1,,,,,,,,,,,,,,,,0,1,0
8/23/2018,A motorcyclist’s passenger was killed when they were hit from behind on eastbound Clark Road as they were slowing down to make a right turn onto Big Lake Road. The motorist that hit them was reported to be distracted.,,,,,,,1,1,,,,,,,,,,,,,,,,0,1,0
9/9/2018,"A motorist travelling northbound on Milford Road, about a half-mile south of Davisburg Road was killed when they lost control, ran off the road and hit a guardrail, rolled over, ejecting himself from the vehicle. Alcohol and drugs were a contributing factor.",,,,,,,1,1,,,,,,,,,,,,,,,,0,0,0
9/26/2018,"A motorist travelling eastbound on Oakwood Road, 500 feet west of Hadley Road was killed when they swerved right onto the shoulder, over corrected crossing the centerline, causing a head-on collision with a semi-truck.",,,,,,,1,1,,,,,,,,,,,,,,,,0,0,0
9/29/2018,"A motorist travelling westbound on Clyde Road at Hickory Ridge Road, failed to yield the right of way after stopping and was hit by a northbound motorist. A passenger in the vehicle that failed to yield was killed.",,,,,,,1,1,,,,,,,,,,,,,,,,0,0,0
9/29/2018,"A motorcyclist travelling southeasterly on Union Lake Road at Farnsworth Road, killed when they were passing a right turning vehicle and was hit by a vehicle making a left turn from Farnsworth Road.",,,,,,,1,1,,,,,,,,,,,,,,,,0,1,0
11/1/2018,"A motorist travelling eastbound on Lakeville Road, 100 feet east of Grampian Road was killed when they ran off the road into a pond.",,,,,,,1,1,,,,,,,,,,,,,,,,0,0,0
11/9/2018,"A motorist travelling eastbound on Walton Boulevard, 40 feet west of Texas Avenue was killed when they crossed the centerline sideswiping one vehicle and then hitting a westbound vehicle head-on.",,,,,,,1,1,,,,,,,,,,,,,,,,0,0,0
11/17/2018,"A motorist travelling westbound on E Holly Road, 913 feet west of Tucker Road with two passengers was killed when they ran off the road rolling their vehicle which caught on fire.",,,,,,,1,1,,,,,,,,,,,,,,,,0,0,0
12/4/2018,"A pedestrian was killed by a southbound vehicle when they were crossing Cass Lake Road, 350 feet south of Elizabeth Lake Road. Alcohol was a contributing factor in the crash.",,,,,,,1,1,,,,,,,,,,,,,,,,1,0,0
12/29/2018,"A motorist travelling eastbound on Grange Hall Road, near Joann Street was killed when they lost control of their vehicle, crossed the centerline causing a head-on collision with a westbound vehicle. The driver may have suffered a medical condition before the crash.",,,,,,,1,1,,,,,,,,,,,,,,,,0,0,0
2/7/2019,"A motorist westbound on Coach Lamp Road at Rochester Road, made a left turn and was hit by a northbound vehicle. The driver of the left turning vehicle died 20 days later from their injuries.",,Rochester Rd,Coach Lamp,,,,1,1,Oakland,,,,,,,,,,,,,,,0,0,1
2/9/2019,"A motorist travelling northbound on Sashabaw Road, 150 feet north of Meigs Avenue had an apparent medical problem and ran off the road into a fire hydrant. The motorist died from their medical problem.",,Sashabaw Rd,Meigs Ave,,,,1,1,Waterford,,,,,1,,,,,,,,,,0,0,1
2/12/2019,"A motorist travelling westbound on General Motors Road, 150 feet east of Martindale Road was killed when they lost control in slushy road conditions, crossed the centerline and were hit by an eastbound vehicle.",,General Motors Rd,,,,,1,1,Milford,,,,,,,,,,,,,1,,0,0,0
2/26/2019,"A motorist travelling at a high rate of speed on Grange Hall Road, lost control at the intersection of Foxwood Trail, left the road and hit a tree killing the passenger in their vehicle.",,Grange Hall Rd,,,,,1,1,Groveland,,,,,,1,,,,,,,,,0,0,0
3/14/2019,"A motorist travelling northbound on Clintonville Road, 100 feet north of Fay Street during dark and wet conditions hit a pedestrian in a wheelchair that was being push by another pedestrian. The motorist fled the scene. The pedestrian in the wheelchair died from the injuries on 04/08/19.",,Clintonville Rd,,,,,1,1,Independence,,,,,,,,,,,,,,,1,0,0
3/23/2019,"A motorist travelling eastbound on Seymour Lake Road, crossed the centerline to avoid a rear-end collision with a vehicle turning left onto Dunlap Road and hit a westbound vehicle head-on, killing the driver.",,Seymour Lake Rd,,,,,1,1,Oxford,,,,,,,,,,,,,,,0,0,0
3/23/2019,"A motorist travelling westbound on Commerce Road, hit and killed a pedestrian crossing the road from north to south at Greenlawn Avenue.",,Commerce Rd,,,,,1,1,Commerce,,,,,,,,,,,,,,,1,0,0
4/6/2019,"A motorcyclist travelling westbound on Stoney Creek Road, west of Rochester Road was killed when a wild turkey hit him in the chest causing him to lose control, run-off the road hitting a guardrail.",,Stoney Creek Rd,,,,,1,1,Oakland,,,,,,,,,,,,,,,0,1,0
4/26/2019,"A motorist travelling northbound on Andersonville Road, 1320 feet south of Clark Road was killed when they lost control, crossed the centerline and ran off the road hitting a tree, rolling the vehicle over. Alcohol was a factor in the crash. ",,Andersonville Rd,,,,,1,1,Springfield,,,,,1,,,,,1,,,,,0,0,0
6/30/2019,"A motorist travelling westbound on Hickory Grove Road, 100 feet west of Orange Lake Drive was killed when they lost control, crossed the centerline, ran off the road and hit a tree. Alcohol was a contributing factor in the crash.",,Hickory Grove Rd,,,,,1,1,Bloomfield,,,,,,,,,,1,,,,,0,0,0
6/30/2019,A motorcyclist with passenger at the intersection of Hospital Road and Elizabeth Lake Road were both killed. The motorcyclist was southbound when a northbound motorist made a left turn causing the collision.,,Hospital,Elizabeth Lake Rd,,,,1,2,Waterford,,,,,,,,,,,,,,,0,1,0
7/1/2019,"A motorist travelling northwesterly on Heathfield Road, 250 feet southeasterly of Berkshire Drive was killed including two passengers when they suffered a seizure, loss control, ran off road and hit a tree. A third passenger suffered an A injury.",,Heathfield Rd,,,,,1,3,Bloomfield,,,,,,,,,,,,,,,0,0,1
7/8/2019,"A motorist travelling westbound on Big Beaver Road, 974 feet west of Morel Boulevard, crossed the center median, striking two trees and entering the eastbound lanes where they hit a vehicle head-on killing the driver.",,Big Beaver Rd,,,,,1,1,Troy,,,,,,,,,,,,,,,0,0,1
7/14/2019,"A motorist travelling westbound on Pontiac Trail, 240 feet west of Ward Road, crossed the centerline sideswiping an eastbound vehicle and then hitting another westbound vehicle head-on. A passenger in the vehicle that crossed the centerline was killed. The driver may have suffered a medical emergency prior to the crash.",,Pontiac Trail,Ward Rd,,,,1,1,Lyon,,,,,,,,,,,,,,,0,0,1
7/18/2019,"Two pedestrians were killed while crossing Milford Road, 250 feet north of Livingston Road (Non in marked cross walk) when they were hit by a southbound vehicle.",,Milford Rd,Livingston Rd,"Yes - UD 10 does not show K, Police said one K, Keller says to K's",,,1,2,Highland,,,,,,,,,,,,,,,1,0,0
7/27/2019,"A pedestrian was killed while walking in Greenfield Road, 500 feet north of Nine Mile Road when they were hit by a northbound vehicle at night.",,Greenfield Rd,Nine Mile Rd,,,,1,1,Oak Park,,,,,,,,,,,,,,1,1,0,0
7/30/2019,"A pedestrian was killed while walking in Greenfield Road, 570 feet south of Nine Mile Road when they were hit by a northbound vehicle at night. Drugs and alcohol may have been factors in the crash.",,Greenfield Rd,Nine Mile Rd,,,,1,1,Oak Park,,,,,,,,,,,,,,1,1,0,0
8/9/2019,"A motorist travelling westbound on Ten Mile Road (E Lake St), 75 feet west of Lyon Boulevard was killed when they lost control, hit a curb, mailbox, boulders, and three parked vehicles, rolling the vehicle over.",,Ten Mile Rd,Lyon Blvd,,,,1,1,South Lyon,,,,,,,,,,,,,,,0,0,1
8/14/2019,"A motorist travelling northbound on John R Road, 600 feet south of Big Beaver Road was killed when they made a left turn and were hit by a southbound vehicle.",,John R Rd,Big Beaver Rd,,,,1,1,Troy,Troy,,,,,,,,,,,,,,0,0,1
8/21/2019,"A motorist travelling eastbound on Oakwood Road, 500 feet west of Barber Road was killed when they lost control, crossed the centerline, ran off the road and hit a tree. Alcohol was a contributing factor in the crash. ",,Oakwood Rd,,,,,1,1,,,,,,,,,,,1,,,,,0,0,0
8/25/2019,"Two pedestrians were killed while crossing Twelve Mile Road, near Parkhill Street when they were hit by a vehicle.",,12 Mile Rd,,,,,1,2,Farmington Hills,,,,,,,,,,,,,,,2,0,0
8/31/2019,"A motorist travelling northbound on Dixie Highway, 100 feet south of Buckell Lake Road ran off the road into a ditch. When officers responded to the scene the motorist stripped naked and began running in the lanes of traffic into the side of a southbound vehicle. They died later from their injuries.",,Dixie Hwy,Buckell Lake Rd,,,,1,1,Groveland,,,,,,,,,,,,,,1,0,0,0
9/10/2019,"A pedestrian was killed while crossing Ten Mile Road, in a construction work zone near Santa Barbara Street when they were hit by a vehicle that did not stop.",,Ten Mile Rd,,,,,1,1,,,,,,,,,,,,,,,,1,0,0
9/24/2019,"A westbound Dump Truck on Long Lake Road, near West Wabeek Lake Drive hit a vehicle killing the driver.",,Long Lake Rd,,,,,1,1,,,,,,,,,,,,,,,,,0,0
9/29/2019,"A motorist travelling on Seymour Lake Road near Perry Lake Road was killed when they attempted to pass a least two vehicles on wet pavement and lost control, driving off the road, over the curb, and into a marshy area, rolling the vehicle over. The driver was not wearing a seatbelt and was ejected, and the vehicle landed partly on top of them. Alcohol is believed to be a factor in the crash.",,Seymour Lake Rd,,,,,1,1,Brandon,,,,,,,,,,1,,,,,0,0,1
10/3/2019,"A pedestrian was killed while walking in Grand River Avenue, 75 feet east of Asbury Hill Drive when they were hit by an eastbound vehicle at night.",,Grand River Ave,,,,,1,1,Lyon,,,,,,,,,,,,,,,1,0,0
10/13/2019,"A pedestrian was killed while crossing Dequindre Road, just north of Big Beaver Road when they were hit by a northbound vehicle that did not stop.",,Dequindre Rd,,,,,1,1,,,,,,,,,,,,,,,,1,0,0
10/29/2019,"A pedestrian was killed while crossing Drahner Road, at Brookside Court when they were hit by a westbound vehicle at night.",,Drahner Rd,,,,,1,1,Oxford,,,,,,,,,,,,,,,1,0,0
11/7/2019,"A motorist travelling northbound on Hickory Ridge Road, between Sackner Road and Pellett Drive was killed when they lost control and crossed the centerline hitting another vehicle head-on.",,Hickory Ridge Rd,,,,,1,1,,,,,,,,,,,,,,,,0,0,1
11/12/2019,"A driver and passenger on a snowmobile travelling northbound on N Eston Road, 50 feet north of N Whipple Lake Road hit a stopped snowmobile. The driver and passenger were ejected from the snowmobile, the passenger was killed.",,N Eston Rd,,,,,1,1,,,,,,,,,,,,,,,,0,1,0
11/14/2019,"The operator of a motorized mobility wheel chair was killed when crossing John R Road, 75 feet south of Isabell Street in dark and unlighted conditions when hit by a northbound vehicle.",,John R Rd,,,,,1,1,,,,,,,,,,,,,,,,1,0,0
12/18/2019,"A motorist travelling northbound on Dixie Highway, 40 feet south of Cedar Valley Drive made a U-turn and was hit by a southbound gravel hauler causing it to roll over. The driver of the gravel hauler died 11 days later from injuries suffered in the crash.",,Dixie Hwy,,,,,1,1,,,,,,,,,,,,,,,,0,0,1
1/15/2020,"A motorist travelling southbound on John R Road, 100 feet south of Nancy Bostick Drive/Orpington Drive, for unknow reasons swerved over the centerline and was hit on the passenger side by a northbound vehicle, then rolled over into the grass right of way. The northbound vehicle was then hit by another northbound vehicle and then a second northbound vehicle. A passenger in the vehicle that crossed the centerline was killed.",,John R Rd,Nancy Bostick Dr/Orpington Dr,,,,1,1,Troy,City of Troy,,,,,,,,,,,,,,,,1
1/24/2020,"A motorist travelling southbound on Middlebelt Road, 500 feet south of Shore Hill Drive was killed when they crossed the centerline and hit a northbound vehicle in a head-on collision possible due to a medical condition.",,Middlebelt Rd,Long Lake Rd,,,,1,1,West Bloomfield,,,,,,,,,1,,1,,1,,,,1
1/24/2020,A motorist travelling eastbound on Walnut Lake Road approaching Franklin Road at a high rate of speed was killed when they continued through the traffic signal at the T-intersection into a series of trees. The cause of the crash was a medical condition (heart attack).,,Walnut Lake Rd,Franklin Rd,,,https://goo.gl/maps/tPxco2WBxgvtPP1j9,1,1,Bloomfield,,,,,,,,,,,1,,,,,,
2/27/2020,"A motorist travelling westbound on Grange Hall Road, approximately 600 feet east of Joann Street was killed when they lost control crossing the centerline where they were hit by a semi-truck.",,Grange Hall Rd,,,,,1,1,Holly,,,,,,,,,1,,,,,,,,
5/25/2020,"A motorist in a police pursuit chase travelling southbound on Greenfield Road at Eleven Mile Road, was killed when they hit another vehicle in the intersection then a street name sign and a traffic signal pole.",,Greenfield Rd,11 Mile,,,,1,1,,,,,,,,,,,,,,,,,,
6/3/2020,An eastbound pedestrian crossing Gilbert Lake Rd at Quarton Rd in a marked crosswalk was struck and killed by a motorist turning from westbound Quarton Rd onto Gilbert Lake Rd.  Motorist indicated that they did not see the pedestrian in the crosswalk until after an eastbound vehicle cleared the intersection and the left turn was in progress.,,Gilbert Lake Rd,Quarton Rd,,,,1,1,,,,,,,,,,,,,,,,1,,
7/8/2020,A motorcyclist with passenger traveling eastbound on Bogie Lake Rd approx. 400’ west of Sugden Lake Rd crossed over the centerline when they were unable to slow for a curve.  They struck a northbound motorist.  Both the motorcyclist and passenger were ejected from the motorcycle.  The motorcyclist (driver) was killed.  ,,Bogie Lake Rd,Sugden Lake,,,,1,1,,,,,,,,,,,,,,,,,1,
7/11/2020,"A motorcyclist travelling westbound on State Street at North Oxford Road, was killed when they failed to stop for the Stop sign, losing control hitting the curb on the west side of the road. Drugs and alcohol were contributing factors in the crash.",,State St,N Oxford Rd,,,,1,1,,,,,,1,,,,,1,,,,,,1,
8/11/2020,"A motorcyclist travelling northbound on Baldwin Road at Oakwood Road, was killed when they failed to stop for the Stop sign, crashing into a westbound vehicle making a left turn. Alcohol was contributing factor in the crash.",,Oakwood Rd,Baldwin Rd,,,,1,1,Oxford,,,,,,,,,,1,,,,,,1,1
8/31/2020,"A motorist travelling northbound on Williams Lake Road, approximately 375 feet south of Oakland Manor Drive was killed when a tree fell crushing the vehicle.",,Williams Lake Rd,,,,,1,1,Waterford,,,,,,,,,,,,,,,,,
9/17/2020,"A bicyclist travelling southbound on Middlebelt Road at Liberty Street, was struck.  The bicyclist struck the windshield of the motorist and ended up many feet south of Liberty Street.  The bicyclist was killed.",,Middlebelt Rd,Liberty Street,,,,1,1,Farmington Hills,,,,,,,,,,,,,,,1,,
10/3/2020,A motorist travelling eastbound on Parkdale Road turning left onto Wyngate Drive was struck on the rear passenger side by a motorist travelling westbound on Parkdale Road.  The struck vehicle was split into two sections.  An unrestrained passenger in the struck vehicle was killed.,,Parkdale Road,Wyngate,,,,1,1,Rochester,City of Rochester,,,,,,,,,1,,,,,,,
10/27/2020,A pedestrian crossing Maple Road at John R Road in the crosswalk was killed when struck by a westbound vehicle that had the green signal indication.,,Maple Rd,John R,,,,1,1,,,,,,,,,,,,,,1,,1,,
1/9/2021,"A motorist and front seat passenger traveling southbound on Dequindre Road, south of Square Lake Road at a high rate of speed struck another southbound vehicle from behind then veered off the roadway struck a fire hydrant and a series of trees.  The unrestrained front passenger was killed.",Completed,Dequindre Rd,Square Lake Rd,,,,1,1,Troy,Troy,,,,1,1,,,,1,,,,,,,1
3/7/2021,"A motorist traveling eastbound on Nine Mile Road, 1050’ west of Currie Road was traveling at a high rate of speed when they lost control of the vehicle striking a mailbox then several trees.  The unrestrained driver was killed.",Reviewing,9 Mile,Currie,,,,1,1,Lyon,N/A,,,,1,1,,,,1,,,,1,,,
3/15/2021,"A motorist traveling eastbound on Silver Lake Road, 1320’ east of Dixboro Road failed to navigate a curve, left the roadway, struck a tree and was killed.  The motorist was listed to be fatigued or asleep at the time of the crash.",Completed,Silver Lake Rd,Dixboro Rd,,,,1,1,Lyon,N/A,,,,1,,,,1,,,,,,,,1
3/25/2021,"A motorist exiting a business driveway on Sashabaw Road, approximately 100’ north of Maybee Road struck and killed a pedestrian who was within a sidewalk crossing the driveway",Reviewing,Sashabaw Rd,Maybee Rd,Yes does not have driveway drawin the same as the one that was given in distance from Maybee Rd.,,,1,1,Independence,N/A,,,,,,,,,,,,,,1,,1
4/10/2021,"A motorist with passenger was driving an off-road vehicle (ATV) on Oakwood Road approximately 200’ east of Dena Marie Drive struck a rock and overturned the ATV.  A few days after the crash, the unhelmeted passenger was killed (from injuries related to the crash).  Alcohol was listed as a contributing factor.  ",Completed,Oakwood Rd,Dena Marie Dr,,,https://goo.gl/maps/PYqyy59Zo9Lzf6w76,1,1,Brandon,N/A,,,,1,,,,,1,,,,,,1,
4/13/2021,A motorist was making a left turn from northbound Greenfield Road onto Stratford Drive.  The motorist turned across the path of a southbound motorcyclist.  The motorcyclist struck the side of the motorist’s vehicle. The motorcyclist was killed.  ,Reviewing,Greenfield Rd,Stratford Dr,,,,1,1,Southfield,Southfield,,,,,,,,,,,,,1,,1,1
6/18/2021,A motorcyclist with a passenger was travelling northbound on Dixie Highway south of Rattalee Lake Road when they struck a vehicle exiting a business heading eastbound on Rattalee Lake Road.  The driver of the motorcycle was killed.  Alcohol use was indicated but not listed as a contributing factor.  ,Completed,Dixie Hwy,Rattalee Lake Rd,,,,1,1,Springfield,,,,,,,,,,1,,,,,,1,
6/25/2021,An unrestrained westbound motorist leaving a signalized business drive struck a northbound unrestrained motorist on Greenfield Road approximately 350’ north of Northland Drive.   The unrestrained westbound motorist was killed.  ,PendingWIP,Greenfield Rd,Northland Dr,,,,1,1,Troy,Oak Park,,,,,,,,,,,,,1,,,
7/19/2021,A southbound motorist struck another motorist who was stopped for a red light at the northern leg of the intersection of Airport Road and Hatchery Road.  The driver of the southbound vehicle was killed.  ,Reviewing,Airport Rd,Hatchery Rd,,,,1,1,Waterford,,,,,,,,,,,,,,,,,
7/21/2021,A motorcyclist was struck on Oakwood Road approximately 200’ west of Tonda Dr when the motorcyclist crossed over the centerline of a curve and was struck by an oncoming motorist.  The motorcyclist was killed.  ,Completed,Oakwood Rd,Tonda Dr,,,,1,1,Brandon,,,,,,,,,1,,,,,,,1,
8/20/2021,"A motorist was travelling westbound on Cooley Lake Road at Hiller Road.  While attempting to make a left turn onto Hiller Road, the westbound motorist struck an eastbound motorist on Cooley Lake Rd.  The eastbound motorist was killed.  ",New,Cooley Lake Rd,Hiller Rd,,,,1,1,Waterford,,,,,,,,,,,,,,1,,,
8/26/2021,A southbound motorcyclist lost control of his motorcycle on Sashabaw Road north of Island Park Drive crossing over the centerline and striking the guardrail.  The motorcyclist then slid across the oncoming lane of traffic coming to a rest in the southbound lane of Sashabaw Road.  The motorcyclist was killed.  ,Reviewing,Sashabaw Rd,Island Park Dr,,,,1,1,Waterford,,,,,,1,,,,,,,,,,1,
8/27/2021,"A motorist traveling southbound on Lockhaven Road, at Willow Road may have suffered from an unknown medical emergency and proceeded to initiate an eastbound left turn into an oncoming vehicle on Willow Road.  It is unknown if the southbound motorist was restrained in the vehicle.  The southbound motorist was pronounced dead after being admitted to a local hospital.  ",Reviewing,Lockhaven Rd,Willow Rd,,,,1,1,West Bloomfield,,,,,,,,,,,1,,,,,,1
9/23/2021,Two pedestrians were crossing Pontiac Lake Road west of Village Green Lane when one pedestrian was struck by an eastbound motorist.  The pedestrians were not crossing in marked crosswalk.  The crash occurred at night. The location was noted to have limited lighting and it was raining.  The struck pedestrian was killed.  ,PendingWIP,Pontiac Lake Rd,Village Green,,,,1,1,Waterford,,,,,,,,,,,,,1,,1,,
10/18/2021,An eastbound motorist on Tienken Road struck a southbound pedestrian 40 feet east of Clear Creek Drive.  The pedestrian was in or near the marked crosswalk.  The pedestrian was killed.  ,Reviewing,Teienken Rd,Clear Creek Dr,,,,1,1,Avon,Rochester Hills,,,,,,,,,,,,,1,1,,
10/20/2021,A motorist traveling east on East Holly Road struck a motorist traveling south on Tindall Road.  The southbound motorist was unrestrained as the vehicle was not equipped.  The southbound motorist was killed. ,Reviewing,Holly Rd,Tindall Rd,,,,1,1,Springfield,,,,,,,,,,,,,,,,,1
11/9/2021,A southbound motorist on Napier Road approximately 780 feet south of Twelve Mile Road when left of center for unknown reasons and struck a tree.  The motorist was killed.,PendingWIP,Napier Rd,12 Mile Rd,,,,1,1,Novi,,,,,1,,,,1,,,,,,,,
11/17/2021,A southbound motorist on Livernois Road struck two pedestrians crossing at westbound Big Beaver Road.  The pedestrians were in a marked crosswalk.  The pedestrians were crossing Livernois Road when southbound Livernois Road had a green indication.  One pedestrian was killed.  ,Reviewing,Livernois Rd,Big Beaver Rd,,,,1,1,Troy,,,,,,,,,,,,,,,1,,
11/18/2021,A westbound motorist on Pontiac Trail was struck by an eastbound motorist on Silver Lake Road.  The westbound motorist was killed.  ,New,Pontiac Trail,Silver Lake Rd,,,,1,1,Lyon,,,,,,,,,,,,,,,,,1
11/21/2021,A southbound motorist on Livernois Road making a left turn onto Drexelgate Parkway struck a southbound pedestrian crossing Drexelgate Parkway.  The pedestrian was in a marked crosswalk.  The pedestrian was killed.  ,Reviewing,Livernois Rd,Drexelgate Parkway,,,,1,1,Avon,Rochester Hills,,,,,,,,,,,,1,,1,,1
11/24/2021,A pedestrian laying in the eastbound lane of South Boulevard just east of Old Chatham Drive was struck by an eastbound motorist.  The pedestrian was killed.  ,New,South Blvd,Old Chatham Dr,,,,1,1,Bloomfield,,,,,,,,,,,,,,,1,,
12/16/2021,A westbound motorist in the center left turn lane was turning left from Twelve Mile Road onto Murray Crescent Road was struck from behind by a second westbound motorist for an unknown reason.  The second motorist was later pronounced dead at the hospital.  ,PendingWIP,12 Mile Rd,Murray Crescent Rd,,,,1,1,Southfield,,,,,,,,,1,,,,,,,,1
12/22/2021,A westbound motorist on Twelve Mile Road just west of Halstead Road struck a pedestrian in the northern most lane of Twelve Mile Road.  The pedestrian was not located in a marked crosswalk.  Alcohol was listed as a contributing factor for the pedestrian that was struck and killed.  ,PendingWIP,12 Mile Rd,Halstead Rd,,,,1,1,Farmington Hills,,,,,,,,,,1,,,,,1,,
1/1/2022,"A motorist was southbound on Southfield Road north of Webster Road when they struck another southbound motorist, struck a curb and rolled their vehicle several times.  The motorist had to be extricated from the vehicle.  The motorist was killed.  Alcohol was listed as a contributing factor.  ",,Southfield Rd,Webster Rd,,,,1,1,,,,,,,1,,,,1,,,,,,,
1/16/2022,A motorist was southbound on Kensington Road north of E. Long Lake Road when they proceeded to go left of center though a red traffic signal indication and struck a motorist westbound on E. Long Lake Road.  Both vehicles left the roadway striking a utility pole.  The southbound motorist was traveling at a high rate of speed while eluding a police unit.  The southbound motorist was later pronounced dead at a local hospital.  ,New,Kensington Rd,Long Lake Rd,,,,1,1,Bloomfield,,,,,,1,,,1,,,,,,,,
2/7/2022,"A motorist was southbound on Lake George Road approximately 800’ north of Drahner Road when they encountered icy conditions, left the roadway and struck a tree.  The motorist was killed.  ",New,Lake George Rd,Drahner Rd,,,,1,1,Addison,,,,,1,1,,,,,,,1,,,,
3/3/2022,A front end loader with bucket was exiting the Auburn Hills DPW yard onto eastbound Brown Road approximately 500’ west of Giddings Road when the bucket went left of center striking a westbound motorist.  The westbound motorist was killed.  ,New,Brown Rd,Gidding Rd,,,,1,1,Avon,,,,,,,,,1,,,,,,,,
3/4/2022,A pedestrian was walking in the westbound lane of Indianwood Road east of Oneida Trail when they were stuck and killed by a westbound motorist.  The pedestrian was not in a marked pedestrian crossing.  ,New,Indianwood Rd,Oneida Trail,,,,1,1,Orion,,,,,,1,,,,,,,,,1,,1
4/12/2022,An unhelmeted motorcyclist and unhelmeted passenger were traveling northeast on Williams Lake Road when they ran a red light and struck a motorist westbound on Pontiac Lake Road.  Both the motorcyclist and passenger were transported to a local hospital were the motorcyclist died from injuries sustained in the crash.,New,Williams Lake Rd,Pontiac Lake Road,,,,1,1,Waterford,,,,1,,1,,,,,,,,1,,1,
4/18/2022,"A motorist was driving southbound on Branford Drive approximately 500’ NE of Berwick Drive at a high rate of speed.  The motorist lost control, crossed the centerline struck a rock and trees.  An unrestrained rear seat passenger was killed.  ",New,Branford Dr,Berwick Dr,,,,1,1,West Bloomfield,,,,,1,1,,,1,,,,1,1,,,
4/23/2022,A motorist was traveling eastbound on Maple Road approaching Halstead Road crossed over the centerline and struck a signpost and utility pole.  A front passenger was required to be extricated from the vehicle (by first responders) and later died at a local hospital.  Alcohol use by the driver was suspected.  ,,Maple Rd,Halstead Rd,,,,1,1,West Bloomfield,,,,,1,,,,1,1,,,,,,,1
5/9/2022,A motorcyclist was traveling southbound on Baldwin Road approximately 1050’ north of Clarkston Road when they lost control of the motorcycle in a curve.  The motorcyclist was thrown from the motorcycle and was killed.  ,New,Baldwin Rd,Clarkston Rd,,,,1,1,Orion,,,,,1,1,,,,,,,,,,1,1
