Date,Description,Status,Major Rd,Minor Rd,Inconclusive,Cords,Map,Fatal Crash,Fatal Persons,Twp,CVT,Distracted,Driveway Related,Intersection Related,Road side Fixed object,"Human (speeding, Seatbelt, Helmet, Drwosy, imparied, distracted)",Work Zone?,Animal Related?,Left of Center,Alcohol_Drugs,Medical,Gravel,Wet/Snow/Ice,Teen,Pedestrian_Bike,Motorcycle/ATV/Snowmobile,Elderly
5/27/2011,"SB Motorist on John R Road, north of Losee Drive turned left into the Best Buy parking lot driveway and was hit by a northbound vehicle. Driver of the SB vehicle was taken to the hospital and released the next day. She was found dead at her home later that same day.",,John R Rd,Losee Dr,,,,1,1,,,,,,,,,,,,,,,,0,0,
6/28/2011,"Motorcyclist eastbound on Lone Pine Road at Lasher Road when starting out from the green light, popped the clutch and lost control turning right onto southbound Lasher Road, striking the curb and falling from the motorcycle onto the shoulder.",,Lone Pine Rd,Lahser Rd,,,,1,1,,,,,,,,,,,,,,,,0,1,
7/1/2011,"A motorist exiting a private drive approach just east of Franklin Road failed to yield the right of way when they pulled out in front of a motorcyclist travelling eastbound on 12 Mile Road, approaching Northwestern Highway. The motorcyclist was killed.",,Franklin Rd,,,,,1,1,,,,,,,,,,,,,,,,0,1,
7/14/2011,A motorist northbound on Greenfield Road at Oxford Avenue/San Quenton Avenue had right rear door open transporting a large metal cabinet. The door struck a sign on the southeast corner and veered across all lanes to the northwest corner and ran into a utility pole.,,Greenfield Rd,Oxford Ave,,,,1,1,,,,,,1,,,,,,,,,,0,0,
7/27/2011,"A northbound Giddings Road motorist, south of Liberty Drive struck and killed a bicyclist also travelling northbound.",,Giddings Rd,Liberty Dr,,,,1,1,,,,,,,,,,,,,,,,1,0,
8/7/2011,"Motorcyclist westbound on Elizabeth Lake Road at Glandon Street (East of Union Lake Road) ran off the road, clip some mailboxes and lost control.",,Elizabeth Lake Rd,Union Lake Rd,,,,1,1,,,,,,,,,,,,,,,,0,1,
8/8/2011,"A motorist eastbound on Pontiac Trail, 500 feet east of Old Orchard Trail ran off the road into a ditch and struck a tree.",,Pontiac Trail,Old Orchard Trail,,,,1,1,,,,,,1,,,,,,,,,,0,0,
8/16/2011,A motorist on westbound Clarkston Road was killed when they turned left onto Sashabaw Road in front of an eastbound motorist.,,Clarkston Rd,Sashabaw Rd,,,,1,1,,,,,,,,,,,,,,,,0,0,
8/22/2011,"A motorist was killed when travelling southbound on Silver Lake Road south of Walton Boulevard. They first crossed the centerline and sideswiped a northbound vehicle, then spun around and were hit by a third vehicle also travelling southbound.",,Silver Lake Rd,Walton Blvd,,,,1,1,,,,,,,,,,,,,,,,0,0,
8/27/2011,Motorcyclist with passenger was eastbound on Pontiac Lake Road at Erwindale Road (West of M-59) and crossed the centerline in a curve and hit an eastbound vehicle. The passenger was thrown from the motorcycle and killed.,,Pontiac Lake Rd,Erwindale Rd,,,,1,1,,,,,,,,,,,,,,,,0,1,
8/27/2011,Driver of a moped on westbound South Boulevard just east of Sheffield Road fell off his moped and later died from his injuries.,,South Blvd,Sheffield Rd,,,,1,1,Avon,Auburn Hills,,,,,,,,,,,,,,0,1,
9/5/2011,NB motorist on Milford Road between Rose Center Road and Davisburg Road crossed the centerline and hit a southbound motorist. Drivers of both vehicles were killed.,,Milford Rd,Rose Center Rd,,,,1,2,,,,,,,,,,,,,,,,0,0,
9/9/2011,EB motorist on Baybrook Drive east of Pine Orchard Drive was killed when they ran off the road left into a ditch and hit a tree.,,Baybrook Dr,Pine Orcahrd Dr,,,,1,1,,,,,,1,,,,,,,,,,0,0,
9/20/2011,SB motorist on Silver Lake Road at Dixie Highway was stopped for a red light proceeded to make a right turn on red and hit a pedestrian. The pedestrian died later at the hospital.,,Silver Lake Rd,Dixie Hwy,,,,1,1,,,,,,,,,,,,,,,,1,0,
9/27/2011,NB motorist on Novi Road was killed when they ran the red light at 12 Mile Road and was hit by an eastbound truck pulling a trailer with a backhoe on it.,,Novi Rd,12 Mile Rd,,,,1,1,,,,,,,,,,,,,,,,0,0,
10/19/2011,NB Motorist on Cooley Lake Road near Brookhaven Court crossed the centerline and hit a westbound/southbound vehicle head-on. The driver of the second vehicle was killed.,,Cooley Lake Rd,Brookhaven Ct,,,,1,1,,,,,,,,,,,,,,,,0,0,
